 Idle | Quite Mode Test,,,Flydigi BS3 Pro,,,,,,,,,,,
,,,Idle,,,,,,,,,,,
,Stock Lenovo LOQ 15 Ryzen 7 250 + RTX 5050 115W,,Quite Mode,,,,,,,,,,,
,Idle,,Silent,,,Standard,,,Strong,,,OC,,
,Quite Mode,,Lv.1 1300RPM,Lv.2 1700RPM,Lv.3 1900RPM,Lv.1 2100RPM,Lv.2 2400RPM,Lv.3 2700 RPM,Lv.1 2800RPM,Lv.2 3000RPM,Lv.3 3300RPM,Lv.1 3500 RPM,Lv.2 3700 RPM,Lv.3 4000 RPM
CPU,33.4,,31.1,30.9,30.3,30.1,30.3,29.4,29.4,29.1,29,29.1,29.4,29
GPU,43.4,,33.7,33.1,32.2,32.2,32.3,31.6,31.7,31.3,31.1,31.4,31.6,31.3
,,,Flydigi BS2 Pro,,,,,,,,,,,
CPU,,,32.5,31.9,31.3,31.1,30.5,30,30,29.8,29.6,29.5,29.5,29.5
GPU,,,34.9,34,34,33,32.7,32.3,32.3,32.1,31.5,32.1,31.8,31.9
,,,Flydigi BS2 Pro,,,,,,,,,,,
CPU,,,33.1,29.1,28.5,28,27.6,27.4,27.3,27.4,27.5,,,
GPU,,,34.7,31.2,30.3,30,30,29.5,29.4,29.8,29.7,,,
 Full load | Extreme Mode Test (OC),,,Flydigi BS3 Pro,,,,,,,,,,,
,,,Full Load,,,,,,,,,,,
,Stock Lenovo LOQ 15 Ryzen 7 250 + RTX 5050 115W,,Extreme Mode,,,,,,,,,,,
,Full Load,,Silent,,,Standard,,,Strong,,,OC,,
,OC Mode Max Fan,,Lv.1 1300RPM,Lv.2 1700RPM,Lv.3 1900RPM,Lv.1 2100RPM,Lv.2 2400RPM,Lv.3 2700 RPM,Lv.1 2800RPM,Lv.2 3000RPM,Lv.3 3300RPM,Lv.1 3500 RPM,Lv.2 3700 RPM,Lv.3 4000 RPM
CPU,66,,71.6,69,67.3,65.9,63.9,61.5,60.8,59.8,59.6,59.9,58.5,59
GPU,78,,86.3,86.4,87.3,86.6,82.9,74.4,73.4,68.4,67.3,67.2,67.7,66.6
,,,Flydigi BS2 Pro,,,,,,,,,,,
CPU,,,67.5,64.1,63.6,63.5,62.8,61.8,60.3,61.8,61.9,60.8,60.6,60.8
GPU,,,74.1,73.5,72.2,71.5,71.3,70.6,70.1,69.8,69.6,69,68.4,68.4
,,,Flydigi BS2 Pro,,,,,,,,,,,
CPU,,,65.5,64.3,62.3,62.8,61.6,62.1,63.3,64.4,62.5,,,
GPU,,,72.5,71.1,71.1,70.6,69.5,69.6,70.1,69.8,70.4,,,